Symbol,Name,Last,Sector,Industry,Time,"YTD %Chg","10Y %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W %Chg"
A,"Agilent Technologies",133.85,"Computers and Technology","Electronic Test Equipment",2023-03-29,-10.56%,+342.42%,1.04,39218956000,6848000000,1254000000,5.37,0.68%,-1.16%
AAL,"American Airlines Gp",14.35,Transportation,"Transportation - Airline",2023-03-29,+12.81%,-17.62%,1.55,9107006000,48971000000,127000000,0.3,0.00%,-17.05%
AAP,"Advance Auto Parts Inc",117.55,Retail-Wholesale,"Retail - Wholesale Auto Parts",2023-03-29,-20.05%,+40.04%,1.12,6860371000,11154720000,501870000,13.03,5.18%,-44.15%
AAPL,"Apple Inc",160.77,"Computers and Technology","Computer - Mini",2023-03-29,+23.74%,+897.20%,1.3,2494329760000,394328000000,99803000000,5.89,0.58%,-8.45%
ABBV,"Abbvie Inc",158,Medical,"Large Cap Pharma",2023-03-29,-2.23%,+288.06%,0.62,279175456000,58054000000,11836000000,13.93,3.74%,-2.45%
ABC,"Amerisourcebergen Corp",158.97,Medical,"Medical - Dental Suppliers",2023-03-29,-4.07%,+207.09%,0.54,31956762000,238587000000,1698820000,11.15,1.23%,+2.74%
ABT,"Abbott Laboratories",98.62,Medical,"Medical Products",2023-03-29,-10.17%,+174.94%,0.68,168771936000,43653000000,6933000000,5.34,2.10%,-17.81%
ACGL,"Arch Capital Grp Ltd",67.8,Finance,"Insurance - Proprty & Casualty",2023-03-29,+8.00%,+281.26%,0.74,24888060000,9614810000,1476930000,4.86,0.00%,+42.44%
ACN,"Accenture Plc",279.94,"Business Services",Consulting,2023-03-29,+4.91%,+261.98%,1.25,173315712000,61594300000,6877170000,11.16,1.63%,-15.36%
ADBE,"Adobe Systems Inc",379.16,"Computers and Technology","Computer - Software",2023-03-29,+12.67%,+758.19%,1.27,171232288000,17606000000,4756000000,11.08,0.00%,-15.74%
ADI,"Analog Devices",189.17,"Computers and Technology","Semi Analog & Mixed",2023-03-29,+15.33%,+294.92%,1.14,92874608000,12013950000,2748560000,10.4,1.87%,+13.10%
ADM,"Archer Daniels Midland",78.99,"Consumer Staples","Agriculture Operations",2023-03-29,-14.93%,+132.88%,0.79,42923256000,101556000000,4340000000,7.84,2.29%,-14.47%
ADP,"Automatic Data Procs",219.9,"Business Services",Outsourcing,2023-03-29,-7.94%,+275.41%,0.81,88733480000,16498300000,2948900000,7.53,2.33%,-0.34%
ADSK,"Autodesk Inc",199.16,"Computers and Technology","Computer - Software",2023-03-29,+6.58%,+378.23%,1.51,42370244000,5005000000,823000000,4.2,0.00%,-7.54%
AEE,"Ameren Corp",86.01,Utilities,"Utility - Electric Power",2023-03-29,-3.27%,+141.49%,0.41,22159792000,7957000000,1074000000,4.14,2.98%,-6.31%
AEP,"American Electric Power Company",90.1,Utilities,"Utility - Electric Power",2023-03-29,-5.11%,+82.87%,0.44,45746216000,19639500000,2307200000,5.09,3.73%,-7.69%
AES,"The Aes Corp",23.46,Utilities,"Utility - Electric Power",2023-03-29,-18.43%,+82.42%,0.94,15340881000,12617000000,-546000000,1.67,2.89%,-4.83%
AFL,"Aflac Inc",64.29,Finance,"Insurance - Accident & Health",2023-03-29,-10.63%,+144.37%,0.94,38880164000,19502000000,4201000000,5.4,2.64%,-1.52%
AIG,"American International Group",48.7,Finance,"Insurance - Multi Line",2023-03-29,-22.99%,+22.36%,1.15,35019232000,56437000000,10276000000,4.51,2.69%,-23.58%
AIZ,"Assurant Inc",118.2,Finance,"Insurance - Multi Line",2023-03-29,-5.49%,+158.05%,0.54,6146657000,10193000000,276600000,10.94,2.41%,-35.65%
AJG,"Arthur J. Gallagher & Company",189,Finance,"Insurance - Brokers",2023-03-29,+0.24%,+351.51%,0.69,39559772000,8550600000,1114200000,7.77,1.18%,+10.96%
AKAM,"Akamai Technologies",76.73,"Computers and Technology","Internet - Services",2023-03-29,-8.98%,+116.82%,0.78,11967616000,3616650000,523670000,4.05,0.00%,-35.76%
ALB,"Albemarle Corp",224.46,"Basic Materials","Chemical - Diversified",2023-03-29,+3.50%,+248.94%,1.57,25589950000,7320100000,2689820000,21.95,0.73%,+4.72%
ALGN,"Align Technology",306.21,Medical,"Medical - Dental Suppliers",2023-03-29,+45.19%,+811.04%,1.6,23388268000,3734640000,361570000,5.53,0.00%,-29.44%
ALK,"Alaska Air Group",40.63,Transportation,"Transportation - Airline",2023-03-29,-5.38%,+24.48%,1.54,5074381000,9646000000,58000000,4.31,0.00%,-28.96%
ALL,"Allstate Corp",109.7,Finance,"Insurance - Proprty & Casualty",2023-03-29,-19.10%,+116.71%,0.59,28002510000,51412000000,-1311000000,-1.1,3.35%,-21.98%
ALLE,"Allegion Plc",105.4,"Industrial Products","Protection - Safety",2023-03-29,+0.13%,N/A,1.1,9157498000,3271900000,458000000,5.68,1.73%,-7.12%
AMAT,"Applied Materials",119.85,"Computers and Technology","Semi-Eqpt Wafer Fabrication",2023-03-29,+23.07%,+763.50%,1.61,98371728000,25785000000,6525000000,7.85,0.89%,-12.94%
AMCR,"Amcor Plc",11.11,"Industrial Products","Containers - Paper Products",2023-03-29,-6.72%,+13.01%,0.81,16388154000,14544000000,805000000,0.82,4.44%,-2.11%
AMD,"Adv Micro Devices",96.09,"Computers and Technology","Electronics - Semiconductors",2023-03-29,+48.36%,"+3,608.24%",1.95,152372832000,23601000000,1320000000,3.01,0.00%,-20.08%
AME,"Ametek Inc",142.24,"Computers and Technology","Electronic Test Equipment",2023-03-29,+1.80%,+225.51%,1.22,32501860000,6150530000,1159540000,5.68,0.71%,+6.41%
AMGN,"Amgen Inc",241.03,Medical,"Medical - Biomedical",2023-03-29,-8.23%,+132.64%,0.65,127342600000,26323000000,6552000000,17.69,3.57%,+0.23%
AMP,"Ameriprise Financial Services",301.64,Finance,"Finance - Investment Mgmt",2023-03-29,-3.12%,+306.45%,1.49,31476056000,14271000000,2559000000,25.16,1.67%,-3.04%
AMT,"American Tower Corp",198.49,Finance,"REIT - Equity Trust Other",2023-03-29,-6.31%,+150.74%,0.56,89809136000,10711100000,1765800000,3.84,3.24%,-18.99%
AMZN,"Amazon.com Inc",100.25,Retail-Wholesale,"Internet Commerce",2023-03-29,+19.35%,+629.78%,1.25,996443520000,513983000000,-2722000000,0.72,0.00%,-40.68%
ANET,"Arista Networks Inc",162.5,"Computers and Technology","Communications Components",2023-03-29,+33.91%,N/A,1.24,49942384000,4381310000,1352450000,4.14,0.00%,+16.58%
ANSS,"Ansys Inc",320.07,"Computers and Technology","Computer - Software",2023-03-29,+32.48%,+290.21%,1.24,27668090000,2065550000,523710000,6.37,0.00%,+0.52%
